product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
13,-0.9164543044022413,-0.7066392746783967,9,98,0.33018258514641474,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,True,False
15,-0.9164543044022413,-0.2528117205802297,7,74,0.7021721184578567,1.3827046931962514,False,False,False,False,False,False,False,False,False,False,False,True,False
261,0.11609683506251094,-0.2528117205802297,2,70,-0.2811423671980112,-0.36839277517675717,False,False,False,False,False,False,False,False,False,True,False,False,True
234,2.1811991139920153,2.470153604008772,10,58,1.3127744992278274,0.9903609423578267,False,False,False,False,False,False,False,False,False,True,False,True,False
108,0.11609683506251094,-0.7066392746783967,9,116,-0.15042889970232698,-0.883731298206345,False,False,False,False,False,True,False,False,False,False,False,False,True
125,0.11609683506251094,-0.2528117205802297,4,71,-0.5766743788176647,-0.36839277517675717,False,False,False,False,False,False,True,False,False,False,False,True,False
200,-0.4001787346698652,-0.7066392746783967,1,71,-0.726058282750464,0.19023003294953789,False,False,False,False,False,False,False,False,True,False,False,True,False
125,0.11609683506251094,0.6548433876161043,4,71,-0.13804597430018412,0.14694574785283024,False,False,False,False,False,False,True,False,False,False,False,True,False
37,-0.9164543044022413,-0.9335530517274802,9,71,-1.6367735597338284,-0.17915468793104636,True,False,False,False,False,False,False,False,False,False,True,True,False
267,1.1486479745272633,0.6548433876161043,9,95,-0.07770342258932036,0.14694574785283024,False,False,False,False,False,False,False,False,False,True,False,True,False
125,0.11609683506251094,-0.2528117205802297,4,112,-0.6141223980573846,-0.3147886017616418,False,False,False,False,False,False,True,False,False,False,False,True,False
134,-0.9164543044022413,-0.7066392746783967,9,10,-0.8838457942308641,-0.6556903689642588,False,False,False,False,False,False,False,True,False,False,False,True,False
13,-0.9164543044022413,-0.7066392746783967,2,98,0.6465635729938989,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,True,False
251,-0.9164543044022413,-0.9335530517274802,1,81,-1.443373566175922,0.8482993227554467,False,False,False,False,False,False,False,False,False,True,False,True,False
